First Name,Last Name,SID,Email,Section,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,1: Assignment 3 (10.0 pts)
person,1,1234,s1234@ed.ac.uk,Group 1,0,10,Ungraded,66933747,2021-02-26 14:04:13 +0000,00:00:00,0,0
person,2,2345,s2345@ed.ac.uk,Group 3,0,10,Ungraded,66958071,2021-02-26 16:47:53 +0000,00:00:00,0,0
person,3,3456,s1234@ed.ac.uk,Group 1,0,10,Ungraded,67265803,2021-02-28 17:18:30 +0000,00:00:00,0,0
person,4,4567,s2345@ed.ac.uk,Group 3,0,10,Ungraded,67826599,2021-03-03 12:17:52 +0000,00:00:00,0,0
person,5,5678,s1234@ed.ac.uk,Group 4,0,10,Ungraded,67830285,2021-03-03 13:46:21 +0000,00:00:00,0,0
person,6,6789,s2345@ed.ac.uk,Group 1,0,10,Ungraded,68039410,2021-03-04 10:44:10 +0000,00:00:00,0,0
person,7,7900,s1234@ed.ac.uk,Group 1,0,10,Ungraded,68081634,2021-03-04 17:46:03 +0000,00:00:00,0,0
person,8,9011,s2345@ed.ac.uk,Group 4,0,10,Ungraded,68102992,2021-03-04 19:23:28 +0000,00:00:00,0,0
person,9,10122,s1234@ed.ac.uk,Group 1,0,10,Ungraded,68129658,2021-03-04 21:19:58 +0000,00:00:00,0,0
person,10,11233,s2345@ed.ac.uk,Group 2,0,10,Ungraded,68215138,2021-03-05 03:30:02 +0000,00:00:00,0,0
person,11,12344,s1234@ed.ac.uk,Group 2,0,10,Ungraded,68251257,2021-03-05 06:15:57 +0000,00:00:00,0,0
person,12,13455,s2345@ed.ac.uk,Group 2,0,10,Ungraded,68267453,2021-03-05 08:54:45 +0000,00:00:00,0,0
person,13,14566,s1234@ed.ac.uk,Group 3,0,10,Ungraded,68271373,2021-03-05 10:20:21 +0000,00:00:00,0,0
person,14,15677,s2345@ed.ac.uk,Group 3,0,10,Ungraded,68273010,2021-03-05 11:07:36 +0000,00:00:00,0,0
person,15,16788,s1234@ed.ac.uk,Group 1,0,10,Ungraded,68273763,2021-03-05 11:31:21 +0000,00:00:00,0,0
person,16,17899,s2345@ed.ac.uk,Group 4,0,10,Ungraded,68300039,2021-03-05 16:21:59 +0000,04:21:59,0,0
person,17,19010,s1234@ed.ac.uk,Group 1,,10,Missing,,,,,
person,18,20121,s2345@ed.ac.uk,Group 2,,10,Missing,,,,,
person,19,21232,s1234@ed.ac.uk,#N/A,,10,Missing,,,,,
person,20,22343,s2345@ed.ac.uk,Group 4,,10,Missing,,,,,
person,21,23454,s1234@ed.ac.uk,#N/A,,10,Missing,,,,,
person,22,24565,s2345@ed.ac.uk,Group 2,,10,Missing,,,,,
person,23,25676,s1234@ed.ac.uk,Group 4,,10,Missing,,,,,
person,24,26787,s2345@ed.ac.uk,Group 1,,10,Missing,,,,,
person,25,27898,s1234@ed.ac.uk,Group 2,,10,Missing,,,,,
person,26,29009,s2345@ed.ac.uk,Group 3,,10,Missing,,,,,
person,27,30120,s1234@ed.ac.uk,Group 2,,10,Missing,,,,,
person,28,31231,s2345@ed.ac.uk,Group 4,,10,Missing,,,,,
person,29,32342,s1234@ed.ac.uk,Group 2,,10,Missing,,,,,
